# id	category	locale	text	aliases
# Bilingual corpus. English is the universal fallback; Spanish is used for es locales.
city_043	cities	es	CHICAGO	
city_044	cities	es	MIAMI	
city_045	cities	es	BOSTON	
city_046	cities	es	SAN FRANCISCO	
city_047	cities	es	LAS VEGAS	
city_048	cities	es	WASHINGTON	
city_049	cities	es	SEATTLE	
city_050	cities	es	NUEVA ORLEANS	
city_051	cities	es	TORONTO	
city_052	cities	es	MONTREAL	
city_053	cities	es	VANCOUVER	
city_054	cities	es	OTTAWA	
city_055	cities	es	MADRID	
city_056	cities	es	BARCELONA	
city_057	cities	es	SEVILLA	
city_058	cities	es	VALENCIA	
city_059	cities	es	BILBAO	
city_060	cities	es	MÁLAGA	
city_061	cities	es	LISBOA	
city_062	cities	es	OPORTO	
city_063	cities	es	PARÍS	
city_064	cities	es	LONDRES	
city_065	cities	es	MANCHESTER	
city_066	cities	es	LIVERPOOL	
city_067	cities	es	EDIMBURGO	
city_068	cities	es	DUBLÍN	
city_069	cities	es	ROMA	
city_070	cities	es	MILÁN	
city_071	cities	es	VENECIA	
city_072	cities	es	FLORENCIA	
city_073	cities	es	NÁPOLES	
city_074	cities	es	TURÍN	
city_075	cities	es	BERLÍN	
city_076	cities	es	MÚNICH	
city_077	cities	es	HAMBURGO	
city_078	cities	es	FRÁNCFORT	
city_079	cities	es	COLONIA	
city_080	cities	es	ÁMSTERDAM	
city_081	cities	es	BRUSELAS	
city_082	cities	es	LUXEMBURGO	
city_083	cities	es	ZÚRICH	
city_084	cities	es	GINEBRA	
city_085	cities	es	VIENA	
city_086	cities	es	PRAGA	
city_087	cities	es	VARSOVIA	
city_088	cities	es	CRACOVIA	
city_089	cities	es	BUDAPEST	
city_090	cities	es	ATENAS	
city_091	cities	es	ESTAMBUL	
city_092	cities	es	COPENHAGUE	
city_093	cities	es	ESTOCOLMO	
city_094	cities	es	OSLO	
city_095	cities	es	HELSINKI	
city_096	cities	es	REIKIAVIK	
city_097	cities	es	BELGRADO	
city_098	cities	es	ZAGREB	
city_099	cities	es	DUBROVNIK	
city_100	cities	es	SOFÍA	
city_101	cities	es	BUCAREST	
city_102	cities	es	MOSCÚ	
city_103	cities	es	SAN PETERSBURGO	
city_104	cities	es	DUBÁI	
city_105	cities	es	ABU DABI	
city_106	cities	es	DOHA	
city_107	cities	es	JERUSALÉN	
city_108	cities	es	TEL AVIV	
city_109	cities	es	RIAD	
city_110	cities	es	TEHERÁN	
city_111	cities	es	BAGDAD	
city_112	cities	es	EL CAIRO	
city_113	cities	es	ALEJANDRÍA	
city_114	cities	es	CASABLANCA	
city_115	cities	es	MARRAKECH	
city_116	cities	es	TÚNEZ	
city_117	cities	es	ARGEL	
city_118	cities	es	CIUDAD DEL CABO	
city_119	cities	es	JOHANNESBURGO	
city_120	cities	es	NAIROBI	
city_121	cities	es	ADDIS ABEBA	
city_122	cities	es	DAKAR	
city_123	cities	es	LAGOS	
city_124	cities	es	ACRA	
city_125	cities	es	TOKIO	
city_126	cities	es	OSAKA	
city_127	cities	es	KIOTO	
city_128	cities	es	SEÚL	
city_129	cities	es	PEKÍN	
city_130	cities	es	SHANGHÁI	
city_131	cities	es	HONG KONG	
city_132	cities	es	TAIPÉI	
city_133	cities	es	BANGKOK	
city_134	cities	es	SINGAPUR	
city_135	cities	es	KUALA LUMPUR	
city_136	cities	es	YAKARTA	
city_137	cities	es	MANILA	
city_138	cities	es	HANOI	
city_139	cities	es	HO CHI MINH	
city_140	cities	es	NUEVA DELHI	
city_141	cities	es	MUMBAI	
city_142	cities	es	BANGALORE	
city_143	cities	es	KATMANDÚ	
city_144	cities	es	COLOMBO	
city_145	cities	es	SÍDNEY	
city_146	cities	es	MELBOURNE	
city_147	cities	es	BRISBANE	
city_148	cities	es	PERTH	
city_149	cities	es	AUCKLAND	
city_150	cities	es	WELLINGTON	
car_brand_001	car_brands	es	ABARTH	
car_brand_002	car_brands	es	ALFA ROMEO	
car_brand_003	car_brands	es	ALPINE	
car_brand_004	car_brands	es	ASTON MARTIN	
